LAMMPS data file via write_data, version 3 Mar 2020, timestep = 10000000

312 atoms
4 atom types

-4.0000000000000000e+01 4.0000000000000000e+01 xlo xhi
-4.0000000000000000e+01 4.0000000000000000e+01 ylo yhi
-4.0000000000000000e+01 4.0000000000000000e+01 zlo zhi

Masses

1 12.0107
2 12.0107
3 12.0107
4 1.00794

Atoms # full

300 127 3 -6.4463690703814303e-04 -3.3316012089637262e+01 -2.7631167603281536e+01 -3.9123234630698256e+01 7 -3 8
94 19 3 -7.6261891691184469e-04 -1.3077132970264655e+01 -2.7047244811748364e+01 -3.0101957081290067e+01 14 17 30
235 93 3 -7.6276389830143287e-04 -9.6064933603746052e+00 -2.8501772245886780e+01 -2.9905203980798913e+01 -19 -9 11
93 19 3 -1.7396634526347515e-04 -1.1946500594838042e+01 -2.7540552833904254e+01 -3.0036267982194467e+01 14 17 30
234 93 3 -1.7081772950875568e-04 -1.0740498914776380e+01 -2.8054795190057558e+01 -3.0035987550402243e+01 -19 -9 11
299 127 3 -6.4463690703814303e-04 -3.3959627175722453e+01 -2.6978045501407454e+01 -3.9912635727693605e+01 7 -3 8
266 109 3 -6.4139852747319148e-04 -1.4686110656252538e+01 -2.0561151478746012e+01 1.9178658105708223e+01 21 -32 30
265 109 3 -6.4139852747302495e-04 -1.5682627441413191e+01 -2.0996291649187683e+01 1.8689962145571570e+01 21 -32 30
263 108 3 -6.4360881533459535e-04 -3.1135164936220722e+01 -2.5080493177786487e+01 2.7259728742916653e+01 -16 43 -1
264 108 3 -6.4360881533537251e-04 -3.1593668951673571e+01 -2.4637852734663547e+01 2.8279984337750331e+01 -16 43 -1
155 51 3 -6.4612653624526728e-04 -1.5998275065925236e+01 -2.7399287025811347e+01 3.6701397910049565e+01 38 16 39
154 51 3 -6.4612653624485095e-04 -1.7189697195315642e+01 -2.7323259510026219e+01 3.6969397715060111e+01 38 16 39
213 82 3 -2.1275273513900864e-02 -2.2408865879949396e+01 -1.4737897044698784e+01 -3.7820346877980882e+01 -19 -23 19
214 82 3 5.1352725545372180e-03 -2.2291705086452954e+01 -1.5862999418250485e+01 -3.8237480174063528e+01 -19 -23 19
210 80 4 2.1805017830240997e-02 -2.2501273021205439e+01 -1.3704375960990868e+01 -3.7469785760751805e+01 -29 -9 12
309 132 3 -6.4168876170972444e-04 -2.1713091800324200e+00 -1.6727386824885325e+01 -3.1719500549954891e+01 -7 2 15
310 132 3 -6.4168876171089018e-04 -1.9618014027980846e+00 -1.7656644157006255e+01 -3.2433835459389186e+01 -7 2 15
119 32 3 -6.4450691226919377e-04 -2.4013868049751462e+01 -8.1047981432150387e+00 -2.7435432621422805e+01 75 60 -7
118 32 3 -6.4450691226919377e-04 -2.5191053063019702e+01 -8.3016030129955478e+00 -2.7630267562341505e+01 75 60 -7
255 104 3 -7.7844408946139976e-04 -1.2808900007188277e+00 -8.7154722054505829e+00 -5.3839098976195308e+00 41 -5 -11
281 117 3 -1.4502180383706154e-04 -2.2106532120424660e+00 -7.2516081524641853e+00 -5.9910657773847176e-01 3 -7 -6
256 104 3 -1.4575343518588579e-04 -8.2014167631525337e-01 -7.7269549122365362e+00 -4.8222871525884754e+00 41 -5 -11
280 117 3 -5.9199732585321629e-05 -1.3817440210857035e+00 -8.1439560255988397e+00 -1.2787678642736194e-01 3 -7 -6
193 71 3 5.0440812211116626e-05 -2.9838500309728424e+00 -6.3684107665484015e+00 -1.1514853188134690e+00 3 -22 22
