# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -43993.4 296.217 302.864 300.319
40000 -43992.4 295.811 300.643 300.272
60000 -43993.3 295.699 300.165 300.232
80000 -43993.4 295.516 300.286 299.983
100000 -43993.1 295.715 300.261 300.231
120000 -43992.5 295.62 300.483 300.071
140000 -43992.8 295.528 300.539 299.947
160000 -43993.4 295.462 300.395 299.895
180000 -43993.6 295.589 300.656 299.998
200000 -43996.8 295.524 300.533 299.944
220000 -44005.4 295.514 300.537 299.931
240000 -44012.6 295.461 300.464 299.88
260000 -44019 295.394 300.16 299.86
280000 -44024.4 295.55 300.381 300.006
300000 -44029.1 295.625 300.363 300.102
320000 -44033 295.594 300.286 300.078
340000 -44036.6 295.549 300.061 300.07
360000 -44039.7 295.508 300.027 300.026
380000 -44042.4 295.451 299.932 299.976
400000 -44048.8 295.406 299.912 299.925
420000 -44055.9 295.427 299.97 299.94
440000 -44062 295.482 299.942 300.012
460000 -44068 295.483 299.985 300.004
480000 -44073.4 295.432 299.943 299.951
500000 -44078.4 295.451 299.914 299.98
520000 -44083.2 295.435 299.954 299.952
540000 -44087.8 295.426 299.87 299.958
560000 -44092.1 295.44 299.879 299.973
580000 -44096.3 295.47 299.927 300
600000 -44100.1 295.474 299.984 299.994
620000 -44103.7 295.494 299.973 300.021
640000 -44107 295.51 299.893 300.056
660000 -44110.1 295.548 299.916 300.098
680000 -44113.2 295.527 299.903 300.075
700000 -44116.1 295.508 299.824 300.067
720000 -44118.7 295.51 299.785 300.078
740000 -44122.7 295.496 299.708 300.076
760000 -44127.6 295.497 299.698 300.079
780000 -44132.2 295.499 299.768 300.068
800000 -44136.7 295.515 299.715 300.098
820000 -44140.9 295.497 299.738 300.071
840000 -44144.9 295.537 299.834 300.101
860000 -44148.7 295.522 299.788 300.092
880000 -44152.9 295.523 299.796 300.092
900000 -44158.3 295.505 299.772 300.074
920000 -44163.7 295.51 299.77 300.081
940000 -44168.8 295.506 299.79 300.072
960000 -44173.7 295.497 299.785 300.062
980000 -44178.5 295.488 299.78 300.052
1000000 -44183.1 295.488 299.787 300.05
1020000 -44187.6 295.472 299.798 300.028
1040000 -44191.8 295.473 299.829 300.024
1060000 -44196 295.47 299.831 300.02
1080000 -44199.9 295.478 299.834 300.029
1100000 -44203.7 295.492 299.879 300.037
1120000 -44207.4 295.482 299.916 300.017
1140000 -44211 295.46 299.892 299.996
