# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -49802.7 294.954 297.5 299.205
40000 -49811.5 295.469 297.476 299.822
60000 -49825.5 295.825 298.559 300.057
80000 -49833.5 295.934 298.917 300.124
100000 -49838.9 296.086 299.308 300.236
120000 -49841.5 296.322 300.287 300.346
140000 -49844.3 296.061 299.841 300.114
160000 -49846.1 296.173 300.433 300.143
180000 -49846.8 296.253 300.209 300.278
200000 -49848.1 296.283 300.128 300.328
220000 -49848.9 296.342 299.967 300.426
240000 -49850.1 296.246 299.748 300.349
260000 -49851.1 296.232 300.068 300.277
280000 -49851.8 296.248 300.102 300.29
300000 -49858.2 296.286 300.017 300.35
320000 -49864.2 296.361 300.144 300.418
340000 -49869.7 296.367 300.143 300.424
360000 -49874.7 296.369 300.225 300.413
380000 -49879 296.31 300.153 300.355
400000 -49882.8 296.263 300.147 300.3
420000 -49886 296.279 300.106 300.327
440000 -49889 296.253 300.23 300.274
460000 -49891.6 296.261 300.321 300.267
480000 -49894.1 296.268 300.323 300.276
500000 -49896.4 296.244 300.32 300.247
520000 -49898.5 296.221 300.207 300.24
540000 -49900.4 296.206 300.221 300.22
560000 -49902.5 296.179 300.148 300.2
580000 -49904.5 296.141 300.077 300.168
600000 -49906.2 296.158 300.129 300.178
620000 -49907.8 296.13 300.048 300.159
640000 -49909.2 296.116 300.023 300.147
660000 -49910.6 296.134 300.039 300.166
680000 -49912.1 296.144 300.099 300.167
700000 -49913.4 296.156 300.176 300.168
720000 -49914.7 296.168 300.172 300.183
740000 -49915.9 296.159 300.156 300.175
760000 -49916.9 296.194 300.213 300.207
780000 -49917.9 296.186 300.213 300.197
800000 -49918.9 296.194 300.22 300.206
820000 -49919.8 296.169 300.213 300.177
840000 -49920.6 296.144 300.163 300.156
860000 -49921.3 296.141 300.156 300.154
880000 -49922.3 296.147 300.212 300.15
900000 -49923 296.152 300.19 300.16
920000 -49923.8 296.145 300.186 300.153
940000 -49924.6 296.133 300.154 300.144
960000 -49925.4 296.122 300.09 300.143
980000 -49926.2 296.125 300.109 300.143
1000000 -49926.8 296.138 300.098 300.16
1020000 -49927.4 296.142 300.058 300.171
1040000 -49928.1 296.137 300.034 300.17
1060000 -49928.7 296.127 300.05 300.156
1080000 -49929.4 296.125 300.031 300.156
1100000 -49930.1 296.113 300.046 300.139
1120000 -49930.6 296.132 299.998 300.171
1140000 -49931.2 296.112 299.999 300.146
