# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -63096.2 295.505 301.2 298.431
40000 -63096.2 296.325 301.709 299.304
60000 -63096.5 296.334 301.421 299.354
80000 -63095.6 296.478 301.452 299.516
100000 -63095.5 296.56 300.83 299.696
120000 -63095.2 296.6 300.255 299.82
140000 -63095.1 296.717 300.638 299.903
160000 -63095.4 296.655 300.725 299.819
180000 -63095.5 296.685 300.747 299.851
200000 -63095.9 296.604 300.558 299.784
220000 -63095.8 296.644 300.415 299.85
240000 -63096 296.684 300.541 299.878
260000 -63096 296.717 300.587 299.91
280000 -63095.9 296.822 300.601 300.028
300000 -63095.8 296.752 300.608 299.947
320000 -63095.7 296.72 300.427 299.935
340000 -63095.1 296.704 300.36 299.926
360000 -63094.9 296.731 300.46 299.944
380000 -63094.1 296.75 300.382 299.976
400000 -63093.5 296.807 300.416 300.037
420000 -63093.1 296.815 300.334 300.058
440000 -63092.9 296.805 300.407 300.035
460000 -63092.8 296.757 300.438 299.976
480000 -63092.5 296.782 300.463 300.002
500000 -63092.3 296.781 300.514 299.994
520000 -63092 296.764 300.372 299.994
540000 -63092.1 296.783 300.408 300.011
560000 -63092 296.765 300.395 299.992
580000 -63091.9 296.759 300.385 299.986
600000 -63091.9 296.725 300.38 299.948
620000 -63091.7 296.736 300.443 299.952
640000 -63091.7 296.746 300.508 299.954
660000 -63091.7 296.731 300.466 299.942
680000 -63091.8 296.758 300.47 299.974
700000 -63091.7 296.78 300.446 300.002
720000 -63091.6 296.765 300.506 299.976
740000 -63091.6 296.761 300.48 299.975
760000 -63091.3 296.745 300.436 299.963
780000 -63091.1 296.764 300.407 299.988
800000 -63091 296.759 300.472 299.974
820000 -63091 296.771 300.462 299.989
840000 -63090.9 296.775 300.478 299.991
860000 -63090.8 296.782 300.436 300.005
880000 -63090.9 296.794 300.429 300.02
900000 -63090.9 296.802 300.457 300.025
920000 -63090.9 296.793 300.41 300.022
940000 -63090.8 296.781 300.391 300.011
960000 -63090.8 296.78 300.364 300.013
980000 -63090.8 296.775 300.387 300.004
1000000 -63090.8 296.759 300.374 299.987
1020000 -63090.9 296.763 300.368 299.993
1040000 -63091.1 296.767 300.4 299.994
1060000 -63091.1 296.753 300.373 299.981
1080000 -63091.1 296.743 300.319 299.977
1100000 -63091.2 296.711 300.259 299.949
1120000 -63091.2 296.724 300.21 299.971
1140000 -63091.2 296.722 300.173 299.973
1160000 -63091.2 296.722 300.13 299.979
1180000 -63091.1 296.729 300.126 299.987
1200000 -63091 296.741 300.144 299.999
1220000 -63091 296.753 300.14 300.014
1240000 -63090.9 296.765 300.17 300.023
1260000 -63090.9 296.75 300.153 300.008
1280000 -63090.9 296.751 300.169 300.007
1300000 -63090.9 296.745 300.193 299.996
1320000 -63090.9 296.737 300.153 299.992
1340000 -63091 296.748 300.142 300.007
1360000 -63090.9 296.74 300.132 299.999
1380000 -63090.9 296.731 300.11 299.992
1400000 -63091.6 296.731 300.075 299.997
1420000 -63092.5 296.723 300.073 299.988
1440000 -63093.3 296.723 300.07 299.988
1460000 -63094.1 296.721 300.043 299.99
1480000 -63094.9 296.718 300.008 299.99
1500000 -63095.6 296.721 300.027 299.992
1520000 -63096.5 296.709 300.017 299.979
1540000 -63097.2 296.711 300.035 299.979
1560000 -63098.1 296.704 300.028 299.972
1580000 -63099.1 296.692 300.002 299.962
1600000 -63100.6 296.684 300.016 299.95
1620000 -63102.2 296.684 300.011 299.951
1640000 -63103.6 296.692 300.015 299.96
1660000 -63105.1 296.701 300.067 299.963
1680000 -63106.6 296.704 300.076 299.965
1700000 -63108.1 296.705 300.048 299.97
1720000 -63109.6 296.706 300.081 299.967
1740000 -63111 296.699 300.057 299.962
1760000 -63112.4 296.695 300.059 299.957
1780000 -63113.7 296.691 300.038 299.956
1800000 -63115 296.685 300.034 299.949
1820000 -63116.4 296.684 300.024 299.949
1840000 -63117.6 296.691 300.008 299.96
1860000 -63118.8 296.688 299.993 299.958
1880000 -63120 296.687 300.007 299.956
1900000 -63121.1 296.695 300.019 299.964
