# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -53423.9 296.098 299.039 300.034
40000 -53420.7 296.484 299.023 300.493
60000 -53421.3 296.303 298.42 300.377
80000 -53421.6 296.37 298.875 300.382
100000 -53422.3 296.282 299.038 300.252
120000 -53423 296.251 299.353 300.164
140000 -53422.4 296.328 299.467 300.236
160000 -53422.1 296.169 299.464 300.048
180000 -53422.1 296.223 299.292 300.141
200000 -53422.4 296.298 299.682 300.165
220000 -53422.5 296.245 299.604 300.115
240000 -53423.4 296.305 299.517 300.201
260000 -53423.8 296.296 299.747 300.152
280000 -53423.9 296.294 299.869 300.129
300000 -53424 296.288 299.826 300.129
320000 -53424.1 296.261 299.731 300.114
340000 -53424.2 296.281 299.8 300.125
360000 -53424.5 296.235 299.802 300.071
380000 -53424.7 296.21 299.793 300.043
400000 -53424.9 296.187 299.759 300.022
420000 -53425 296.167 299.72 300.004
440000 -53425.2 296.197 299.789 300.028
460000 -53425.2 296.192 299.698 300.038
480000 -53425.3 296.249 299.765 300.093
500000 -53425.1 296.297 299.836 300.138
520000 -53425.1 296.282 299.781 300.129
540000 -53425.1 296.26 299.728 300.113
560000 -53425 296.239 299.655 300.1
580000 -53424.8 296.206 299.626 300.065
600000 -53424.7 296.204 299.545 300.077
620000 -53424.6 296.22 299.553 300.094
640000 -53424.5 296.193 299.526 300.066
660000 -53424.4 296.189 299.545 300.058
680000 -53424.3 296.175 299.543 300.043
700000 -53424.3 296.229 299.641 300.09
720000 -53424.4 296.198 299.624 300.057
740000 -53424.4 296.228 299.655 300.087
760000 -53426.2 296.241 299.646 300.104
780000 -53427.9 296.245 299.601 300.115
800000 -53429.6 296.258 299.589 300.133
820000 -53431.3 296.274 299.627 300.146
840000 -53432.9 296.266 299.696 300.125
860000 -53434.5 296.268 299.646 300.135
880000 -53435.9 296.264 299.582 300.141
900000 -53437.4 296.251 299.619 300.119
920000 -53438.7 296.26 299.644 300.127
940000 -53440 296.278 299.703 300.138
960000 -53441.2 296.304 299.697 300.169
980000 -53442.4 296.32 299.76 300.177
1000000 -53443.6 296.339 299.799 300.194
1020000 -53444.6 296.342 299.792 300.198
1040000 -53445.7 296.341 299.792 300.197
1060000 -53446.7 296.329 299.797 300.183
1080000 -53447.8 296.322 299.806 300.173
1100000 -53448.7 296.314 299.808 300.163
1120000 -53449.7 296.301 299.816 300.146
1140000 -53450.7 296.296 299.875 300.13
1160000 -53451.5 296.284 299.867 300.118
1180000 -53452.4 296.282 299.852 300.118
1200000 -53453.1 296.273 299.887 300.101
1220000 -53453.8 296.28 299.901 300.108
1240000 -53454.5 296.268 299.876 300.098
1260000 -53455.1 296.273 299.852 300.108
1280000 -53455.9 296.26 299.829 300.096
1300000 -53456.6 296.266 299.842 300.101
1320000 -53457.2 296.267 299.847 300.101
1340000 -53457.8 296.259 299.855 300.091
1360000 -53458.4 296.246 299.844 300.077
1380000 -53459 296.241 299.903 300.061
1400000 -53459.6 296.23 299.855 300.056
1420000 -53460.1 296.241 299.879 300.066
1440000 -53460.6 296.246 299.895 300.068
1460000 -53461.1 296.238 299.876 300.063
1480000 -53461.5 296.247 299.919 300.065
1500000 -53462 296.23 299.896 300.05
1520000 -53462.5 296.248 299.923 300.066
1540000 -53463 296.249 299.952 300.063
1560000 -53463.4 296.246 299.958 300.058
1580000 -53463.9 296.252 299.953 300.066
1600000 -53464.3 296.259 299.939 300.076
1620000 -53464.7 296.248 299.942 300.064
1640000 -53465.1 296.247 299.948 300.061
1660000 -53465.5 296.253 299.963 300.066
1680000 -53465.8 296.258 299.98 300.069
1700000 -53466.1 296.267 299.976 300.08
1720000 -53466.4 296.263 299.99 300.073
1740000 -53466.7 296.265 300.024 300.069
1760000 -53467 296.268 300.043 300.07
1780000 -53467.3 296.266 300.046 300.067
1800000 -53467.6 296.272 300.06 300.072
1820000 -53468 296.268 300.059 300.068
1840000 -53468.3 296.27 300.054 300.07
1860000 -53469 296.277 300.084 300.074
1880000 -53470.1 296.283 300.097 300.08
1900000 -53471.2 296.286 300.104 300.082
1920000 -53472.4 296.285 300.108 300.08
1940000 -53473.6 296.281 300.091 300.077
1960000 -53474.8 296.264 300.072 300.061
1980000 -53476 296.264 300.089 300.058
2000000 -53477.1 296.269 300.099 300.062
2020000 -53478.1 296.269 300.074 300.066
2040000 -53479.1 296.266 300.074 300.062
2060000 -53480.2 296.273 300.066 300.072
2080000 -53481.2 296.269 300.072 300.067
2100000 -53482.2 296.267 300.081 300.062
2120000 -53483.2 296.251 300.054 300.048
2140000 -53484.2 296.252 300.049 300.051
2160000 -53485.1 296.259 300.061 300.057
2180000 -53486.1 296.262 300.062 300.06
2200000 -53487.1 296.266 300.064 300.064
2220000 -53488 296.278 300.078 300.076
2240000 -53488.9 296.282 300.084 300.08
2260000 -53489.7 296.294 300.091 300.092
2280000 -53490.6 296.293 300.093 300.092
2300000 -53491.4 296.295 300.114 300.091
2320000 -53492.2 296.297 300.121 300.092
2340000 -53493 296.304 300.115 300.101
2360000 -53493.8 296.303 300.124 300.098
2380000 -53494.6 296.308 300.152 300.099
2400000 -53495.4 296.304 300.155 300.094
2420000 -53496.2 296.29 300.145 300.08
2440000 -53496.9 296.288 300.143 300.078
2460000 -53497.6 296.298 300.144 300.089
