# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -40864.1 294.813 297.974 299.994
40000 -40862.3 294.704 299.486 299.526
60000 -40861.1 294.548 299.936 299.235
80000 -40861.3 295.013 299.994 299.799
100000 -40861.6 295.04 299.786 299.878
120000 -40861.8 295.104 299.931 299.925
140000 -40862.1 295.129 299.724 300.001
160000 -40862.4 295.235 299.622 300.155
180000 -40863.1 295.247 299.572 300.181
200000 -40863.6 295.197 299.306 300.177
220000 -40863.8 295.261 299.734 300.162
240000 -40870.4 295.277 299.762 300.176
260000 -40877.2 295.285 299.792 300.179
280000 -40882.6 295.341 299.989 300.205
300000 -40888 295.278 299.984 300.128
320000 -40892.5 295.261 299.898 300.127
340000 -40896.5 295.272 299.825 300.156
360000 -40900.1 295.306 299.846 300.194
380000 -40903.3 295.298 299.904 300.172
400000 -40906.2 295.303 299.874 300.184
420000 -40908.8 295.345 300.071 300.193
440000 -40911.4 295.352 299.971 300.223
460000 -40913.8 295.361 300.003 300.228
480000 -40916.1 295.336 299.977 300.202
500000 -40918.2 295.357 300.108 300.199
520000 -40920.1 295.365 300.208 300.188
540000 -40922.1 295.336 300.215 300.149
560000 -40923.8 295.354 300.219 300.171
580000 -40925.4 295.322 300.233 300.128
600000 -40927.1 295.335 300.232 300.145
620000 -40928.8 295.292 300.256 300.087
640000 -40930.4 295.305 300.316 300.09
660000 -40931.9 295.266 300.335 300.038
680000 -40933.4 295.265 300.379 300.026
700000 -40934.9 295.272 300.358 300.039
720000 -40936.1 295.291 300.367 300.061
740000 -40937.2 295.241 300.309 300.011
760000 -40938.3 295.218 300.265 299.993
780000 -40939.3 295.198 300.255 299.971
800000 -40940.4 295.18 300.286 299.942
820000 -40941.4 295.181 300.242 299.952
840000 -40942.4 295.202 300.283 299.969
860000 -40943.3 295.205 300.259 299.979
880000 -40944.2 295.195 300.256 299.966
900000 -40945 295.203 300.25 299.977
920000 -40945.9 295.208 300.242 299.985
940000 -40946.6 295.213 300.228 299.995
960000 -40947.4 295.231 300.173 300.03
980000 -40948.2 295.207 300.17 300
1000000 -40948.9 295.189 300.151 299.982
1020000 -40949.6 295.183 300.144 299.977
1040000 -40950.2 295.173 300.133 299.966
1060000 -40950.8 295.19 300.135 299.987
1080000 -40951.4 295.178 300.09 299.981
1100000 -40951.9 295.186 300.132 299.982
1120000 -40952.4 295.2 300.135 299.999
1140000 -40952.9 295.203 300.123 300.005
1160000 -40953.4 295.217 300.118 300.024
1180000 -40953.9 295.209 300.088 300.021
1200000 -40954.3 295.22 300.147 300.021
1220000 -40954.7 295.222 300.167 300.019
1240000 -40955.1 295.208 300.161 300.004
1260000 -40955.5 295.221 300.124 300.027
1280000 -40955.9 295.205 300.148 300.002
1300000 -40956.2 295.205 300.185 299.995
1320000 -40956.7 295.187 300.193 299.97
1340000 -40957.2 295.186 300.164 299.976
1360000 -40957.7 295.19 300.151 299.983
1380000 -40958.2 295.194 300.156 299.988
1400000 -40958.6 295.202 300.156 299.997
1420000 -40959 295.21 300.153 300.007
1440000 -40959.5 295.209 300.162 300.004
1460000 -40960 295.206 300.174 299.998
1480000 -40960.3 295.2 300.149 299.996
1500000 -40960.7 295.215 300.141 300.016
1520000 -40961 295.211 300.148 300.01
1540000 -40961.3 295.208 300.188 299.997
1560000 -40961.7 295.197 300.165 299.989
1580000 -40962 295.198 300.155 299.992
1600000 -40962.3 295.192 300.156 299.985
1620000 -40962.6 295.201 300.166 299.993
1640000 -40962.9 295.207 300.161 300.002
1660000 -40963.2 295.204 300.14 300.003
1680000 -40963.6 295.206 300.134 300.006
