# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -35517.2 294.63 298.123 300.759
40000 -35517.7 294.535 299.706 300.221
60000 -35515.6 294.275 299.269 300.001
80000 -35516 294.455 299.232 300.242
100000 -35515.3 294.393 299.329 300.137
120000 -35515.5 294.272 299.24 300.004
140000 -35515.6 294.061 298.717 299.871
160000 -35515.7 294.038 298.506 299.897
180000 -35515.3 294.172 298.764 300
200000 -35514.9 294.336 299.037 300.14
220000 -35514.6 294.304 299.005 300.108
240000 -35514.3 294.282 299.202 300.027
260000 -35513.9 294.33 299.257 300.075
280000 -35513.7 294.425 299.41 300.157
300000 -35513.5 294.344 299.407 300.054
320000 -35513.2 294.414 299.403 300.144
340000 -35512.7 294.523 299.557 300.244
360000 -35512.5 294.61 299.565 300.354
380000 -35512.3 294.64 299.634 300.374
400000 -35512 294.645 299.689 300.367
420000 -35511.9 294.608 299.722 300.31
440000 -35511.8 294.569 299.685 300.27
460000 -35511.8 294.569 299.825 300.232
480000 -35511.6 294.524 299.766 300.191
500000 -35511.4 294.538 299.796 300.2
520000 -35511.1 294.599 299.777 300.284
540000 -35512.6 294.559 299.82 300.222
560000 -35515.1 294.614 299.894 300.273
580000 -35517.6 294.635 299.932 300.29
600000 -35520 294.604 299.944 300.247
620000 -35522.1 294.635 299.994 300.273
640000 -35524.2 294.639 300.02 300.272
660000 -35526.3 294.642 300.017 300.277
680000 -35528.1 294.614 300.014 300.241
700000 -35529.8 294.61 299.991 300.241
720000 -35531.5 294.623 300.031 300.249
740000 -35533.1 294.639 300.054 300.262
760000 -35534.6 294.629 300.015 300.261
780000 -35536 294.608 300.021 300.232
800000 -35537.5 294.568 299.92 300.206
820000 -35538.9 294.563 299.926 300.199
840000 -35540.1 294.581 299.937 300.219
860000 -35541.3 294.569 299.924 300.206
880000 -35542.5 294.56 299.954 300.188
900000 -35543.5 294.552 299.918 300.186
920000 -35544.5 294.547 299.917 300.18
940000 -35545.4 294.557 299.961 300.182
960000 -35546.4 294.543 299.988 300.157
980000 -35547.4 294.549 299.952 300.173
1000000 -35548.3 294.553 299.872 300.2
1020000 -35549.2 294.57 299.89 300.217
1040000 -35550 294.553 299.866 300.201
1060000 -35550.8 294.552 299.889 300.194
1080000 -35551.5 294.545 299.907 300.18
1100000 -35552.3 294.541 299.939 300.166
1120000 -35553.5 294.539 299.916 300.17
1140000 -35555.9 294.531 299.894 300.165
1160000 -35558.3 294.522 299.855 300.164
1180000 -35560.6 294.513 299.864 300.151
1200000 -35562.9 294.492 299.827 300.134
1220000 -35565 294.494 299.85 300.13
1240000 -35567.1 294.485 299.795 300.133
1260000 -35569.1 294.481 299.79 300.129
1280000 -35571.2 294.495 299.818 300.139
1300000 -35573.2 294.499 299.786 300.153
1320000 -35575.2 294.494 299.81 300.141
1340000 -35577.1 294.479 299.796 300.125
1360000 -35579 294.495 299.842 300.134
1380000 -35580.8 294.511 299.846 300.153
1400000 -35582.5 294.513 299.858 300.152
1420000 -35584.2 294.507 299.867 300.141
1440000 -35585.9 294.502 299.881 300.132
1460000 -35587.4 294.496 299.894 300.12
1480000 -35588.9 294.481 299.866 300.11
1500000 -35590.4 294.482 299.865 300.111
1520000 -35591.8 294.488 299.885 300.112
1540000 -35593.2 294.483 299.904 300.102
1560000 -35594.6 294.508 299.905 300.134
1580000 -35596 294.5 299.866 300.133
1600000 -35597.3 294.495 299.893 300.12
1620000 -35598.6 294.506 299.885 300.137
1640000 -35599.8 294.513 299.874 300.148
1660000 -35601.1 294.516 299.869 300.154
1680000 -35602.3 294.505 299.826 300.151
1700000 -35603.5 294.498 299.808 300.147
1720000 -35604.7 294.492 299.832 300.132
1740000 -35605.8 294.49 299.818 300.134
1760000 -35606.9 294.499 299.846 300.138
1780000 -35608.2 294.492 299.83 300.132
1800000 -35609.9 294.497 299.834 300.137
1820000 -35611.7 294.494 299.834 300.135
1840000 -35614 294.506 299.87 300.139
1860000 -35616.4 294.513 299.889 300.143
1880000 -35618.8 294.5 299.901 300.124
1900000 -35621.2 294.491 299.887 300.117
1920000 -35623.5 294.494 299.886 300.12
1940000 -35625.8 294.498 299.906 300.12
1960000 -35628 294.49 299.908 300.109
