# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -20352.4 290.719 296.695 301.536
40000 -20353.7 290.648 297.879 300.798
60000 -20355.4 290.605 298.813 300.235
80000 -20356.5 290.722 299.057 300.291
100000 -20357.3 290.885 299.014 300.57
120000 -20357.4 291.12 300.147 300.342
140000 -20357.8 291.045 300.424 300.077
160000 -20358.1 291.349 301 300.253
180000 -20358.2 291.546 301.06 300.531
200000 -20358.4 291.531 301.045 300.515
220000 -20358.5 291.425 300.923 300.413
240000 -20358.4 291.274 300.736 300.274
260000 -20358.5 291.2 300.656 300.199
280000 -20358.4 291.218 300.713 300.197
300000 -20358.3 291.267 300.663 300.301
320000 -20358.2 291.293 300.802 300.268
340000 -20358.1 291.332 300.638 300.418
360000 -20358.2 291.333 300.741 300.364
380000 -20358.1 291.307 300.714 300.338
400000 -20358.1 291.264 300.722 300.265
420000 -20358 291.276 300.793 300.247
440000 -20357.9 291.36 300.829 300.359
460000 -20358.1 291.248 300.714 300.245
480000 -20358.3 291.178 300.727 300.128
500000 -20358.5 291.125 300.664 300.077
520000 -20358.7 291.104 300.652 300.049
540000 -20359 291.119 300.594 300.104
560000 -20359.1 291.069 300.566 300.041
580000 -20359.3 291.112 300.613 300.083
600000 -20359.5 291.116 300.528 300.135
620000 -20359.7 291.127 300.467 300.185
640000 -20359.8 291.098 300.444 300.151
660000 -20360 291.07 300.289 300.188
680000 -20360.2 291.061 300.318 300.158
700000 -20360.3 291.068 300.407 300.123
720000 -20360.5 291.031 300.394 300.071
740000 -20360.6 291.003 300.35 300.05
760000 -20360.8 290.996 300.354 300.038
780000 -20361 290.974 300.271 300.046
800000 -20361.1 290.97 300.288 300.03
820000 -20361.3 290.982 300.28 300.055
840000 -20362.6 291.004 300.261 300.099
860000 -20364.8 291.021 300.292 300.11
880000 -20367.1 290.996 300.259 300.087
900000 -20369.4 291.012 300.305 300.089
920000 -20371.6 290.992 300.334 300.042
940000 -20374.5 290.961 300.307 300.006
960000 -20378.5 290.942 300.304 299.979
980000 -20382.4 290.965 300.333 300
1000000 -20386.2 290.969 300.311 300.017
1020000 -20389.9 290.944 300.315 299.976
1040000 -20393.5 290.937 300.324 299.961
1060000 -20397 290.958 300.324 299.993
1080000 -20400.4 290.903 300.249 299.946
1100000 -20403.7 290.907 300.189 299.984
1120000 -20406.8 290.926 300.202 300.008
1140000 -20409.9 290.909 300.18 299.992
1160000 -20412.9 290.9 300.165 299.986
1180000 -20415.8 290.897 300.196 299.965
1200000 -20418.6 290.901 300.188 299.974
1220000 -20421.3 290.887 300.171 299.963
1240000 -20423.9 290.911 300.189 299.99
1260000 -20426.5 290.908 300.185 299.987
1280000 -20428.9 290.917 300.185 300.002
1300000 -20431.8 290.925 300.197 300.008
1320000 -20435.3 290.922 300.19 300.007
1340000 -20438.8 290.913 300.179 299.999
1360000 -20442.2 290.93 300.204 300.012
1380000 -20446.5 290.936 300.23 300.007
1400000 -20451.2 290.944 300.216 300.029
1420000 -20455.7 290.936 300.198 300.025
1440000 -20460.1 290.944 300.225 300.024
1460000 -20464.4 290.945 300.201 300.038
1480000 -20468.5 290.918 300.185 300.004
1500000 -20472.6 290.926 300.176 300.021
1520000 -20476.6 290.916 300.174 300.006
1540000 -20480.5 290.926 300.188 300.015
1560000 -20484.3 290.926 300.208 300.004
1580000 -20488 290.929 300.222 300.002
1600000 -20491.7 290.939 300.222 300.018
1620000 -20495.2 290.952 300.218 300.04
1640000 -20498.7 290.958 300.21 300.053
1660000 -20502.1 290.969 300.189 300.082
1680000 -20505.4 290.966 300.19 300.076
1700000 -20508.7 290.941 300.181 300.043
1720000 -20511.9 290.942 300.16 300.054
1740000 -20515 290.945 300.154 300.062
1760000 -20518.1 290.921 300.15 300.027
1780000 -20521 290.921 300.14 300.032
1800000 -20523.9 290.916 300.128 300.03
1820000 -20526.8 290.935 300.121 300.064
1840000 -20529.6 290.937 300.124 300.065
1860000 -20532.3 290.945 300.14 300.069
1880000 -20534.9 290.959 300.146 300.088
1900000 -20537.5 290.962 300.165 300.084
1920000 -20540 290.957 300.157 300.079
1940000 -20542.5 290.963 300.168 300.083
1960000 -20544.8 290.963 300.196 300.068
1980000 -20547.2 290.947 300.18 300.052
2000000 -20549.5 290.94 300.163 300.05
2020000 -20551.7 290.937 300.154 300.05
2040000 -20553.9 290.921 300.144 300.03
2060000 -20556.1 290.918 300.126 300.035
2080000 -20558.2 290.918 300.127 300.034
2100000 -20560.3 290.921 300.15 300.027
2120000 -20562.4 290.915 300.147 300.019
2140000 -20564.4 290.919 300.163 300.016
2160000 -20566.4 290.927 300.179 300.021
2180000 -20568.4 290.919 300.175 300.011
2200000 -20570.3 290.926 300.185 300.017
2220000 -20572.2 290.937 300.189 300.031
2240000 -20574 290.922 300.181 300.012
2260000 -20575.8 290.938 300.197 300.029
2280000 -20577.6 290.94 300.211 300.025
2300000 -20579.4 290.94 300.221 300.019
2320000 -20581.1 290.95 300.214 300.038
2340000 -20582.8 290.943 300.19 300.041
2360000 -20584.4 290.937 300.177 300.038
2380000 -20586 290.942 300.174 300.048
2400000 -20587.6 290.934 300.161 300.042
2420000 -20589.2 290.922 300.149 300.029
2440000 -20590.8 290.904 300.116 300.017
2460000 -20592.3 290.906 300.12 300.02
2480000 -20593.9 290.893 300.107 300.006
2500000 -20595.4 290.898 300.106 300.014
2520000 -20596.9 290.896 300.114 300.006
2540000 -20598.3 290.906 300.122 300.018
2560000 -20599.8 290.907 300.132 300.014
2580000 -20601.2 290.904 300.126 300.013
2600000 -20602.6 290.903 300.124 300.012
2620000 -20604 290.899 300.106 300.015
2640000 -20605.4 290.897 300.112 300.01
2660000 -20606.7 290.897 300.115 300.008
2680000 -20608 290.901 300.093 300.025
2700000 -20609.3 290.897 300.09 300.021
2720000 -20610.6 290.893 300.087 300.016
2740000 -20611.9 290.896 300.084 300.022
2760000 -20613.1 290.894 300.081 300.021
2780000 -20614.4 290.902 300.105 300.021
2800000 -20615.6 290.907 300.111 300.025
2820000 -20616.8 290.904 300.108 300.023
2840000 -20617.9 290.906 300.121 300.019
2860000 -20619.1 290.912 300.113 300.032
2880000 -20620.3 290.908 300.113 300.027
2900000 -20621.4 290.917 300.125 300.034
2920000 -20622.5 290.919 300.131 300.034
2940000 -20623.6 290.919 300.122 300.039
2960000 -20624.6 290.929 300.144 300.042
2980000 -20625.7 290.941 300.148 300.059
3000000 -20626.8 290.945 300.139 300.07
3020000 -20627.8 290.949 300.135 300.079
3040000 -20628.8 290.949 300.133 300.079
3060000 -20629.8 290.952 300.136 300.082
3080000 -20630.8 290.944 300.128 300.075
3100000 -20631.9 290.945 300.118 300.082
3120000 -20632.9 290.95 300.133 300.082
3140000 -20633.8 290.939 300.123 300.07
3160000 -20634.8 290.937 300.123 300.066
3180000 -20635.8 290.933 300.114 300.064
3200000 -20636.7 290.939 300.114 300.074
3220000 -20637.7 290.942 300.105 300.084
3240000 -20638.6 290.942 300.103 300.084
3260000 -20639.5 290.94 300.092 300.087
3280000 -20640.4 290.941 300.093 300.088
3300000 -20641.3 290.934 300.097 300.076
3320000 -20642.2 290.92 300.087 300.058
3340000 -20643.1 290.904 300.071 300.041
3360000 -20643.9 290.907 300.077 300.043
3380000 -20644.8 290.908 300.083 300.042
3400000 -20645.6 290.919 300.083 300.059
3420000 -20646.5 290.916 300.075 300.058
3440000 -20647.3 290.912 300.053 300.065
3460000 -20648.3 290.914 300.059 300.064
3480000 -20649.7 290.913 300.042 300.072
3500000 -20651 290.915 300.033 300.079
3520000 -20652.3 290.92 300.044 300.082
3540000 -20653.7 290.921 300.052 300.079
3560000 -20655.1 290.919 300.056 300.073
3580000 -20656.4 290.919 300.054 300.075
3600000 -20657.7 290.917 300.054 300.071
3620000 -20659 290.916 300.068 300.063
3640000 -20660.3 290.899 300.041 300.05
3660000 -20661.6 290.899 300.047 300.046
3680000 -20662.8 290.905 300.057 300.051
3700000 -20664.1 290.912 300.064 300.057
3720000 -20665.3 290.91 300.067 300.054
3740000 -20666.5 290.917 300.071 300.062
3760000 -20667.7 290.912 300.061 300.06
3780000 -20668.9 290.909 300.053 300.059
3800000 -20670.1 290.904 300.046 300.055
3820000 -20671.3 290.902 300.04 300.055
3840000 -20672.4 290.904 300.037 300.059
3860000 -20673.6 290.898 300.027 300.056
3880000 -20674.7 290.904 300.053 300.051
3900000 -20675.8 290.898 300.042 300.048
3920000 -20677.4 290.899 300.051 300.045
3940000 -20678.9 290.9 300.059 300.042
3960000 -20680.5 290.896 300.051 300.039
3980000 -20682.1 290.898 300.041 300.049
4000000 -20683.6 290.899 300.043 300.049
4020000 -20685.1 290.901 300.053 300.047
4040000 -20686.6 290.902 300.05 300.05
4060000 -20688.1 290.911 300.074 300.052
4080000 -20689.6 290.916 300.079 300.057
4100000 -20691 290.914 300.078 300.054
4120000 -20692.5 290.907 300.062 300.052
4140000 -20693.9 290.915 300.057 300.067
4160000 -20695.3 290.925 300.064 300.079
4180000 -20696.7 290.921 300.06 300.075
4200000 -20698.1 290.924 300.056 300.081
4220000 -20699.5 290.927 300.07 300.08
4240000 -20700.9 290.924 300.075 300.071
4260000 -20702.3 290.917 300.064 300.065
4280000 -20703.6 290.912 300.075 300.053
4300000 -20705 290.914 300.068 300.058
4320000 -20706.3 290.912 300.061 300.06
4340000 -20707.7 290.905 300.059 300.05
4360000 -20709 290.912 300.059 300.061
4380000 -20710.2 290.914 300.055 300.066
4400000 -20711.5 290.917 300.055 300.071
4420000 -20712.8 290.921 300.063 300.073
4440000 -20714.1 290.911 300.057 300.06
4460000 -20715.3 290.906 300.059 300.052
4480000 -20716.6 290.906 300.069 300.046
4500000 -20717.8 290.907 300.068 300.047
4520000 -20719 290.91 300.072 300.05
4540000 -20720.2 290.916 300.075 300.059
4560000 -20721.4 290.917 300.071 300.063
4580000 -20722.6 290.912 300.067 300.057
4600000 -20723.8 290.914 300.069 300.058
4620000 -20725 290.915 300.07 300.059
4640000 -20726.1 290.912 300.065 300.058
