# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -13755.7 282.68 295.93 299.38
40000 -13755.2 283.5 297.508 299.282
60000 -13755.2 283.705 297.125 300.302
80000 -13754.7 285.378 299.31 301.491
100000 -13754.8 284.937 298.748 301.159
120000 -13754.9 284.311 297.998 300.622
140000 -13754.9 284.261 297.944 300.57
160000 -13754.9 284.261 298.026 300.462
180000 -13754.8 284.563 298.667 300.346
200000 -13754.8 284.738 298.931 300.424
220000 -13754.8 284.677 299.165 299.958
240000 -13754.9 284.683 298.932 300.287
260000 -13754.9 284.808 299.007 300.493
280000 -13754.9 284.761 299.105 300.245
300000 -13754.9 284.792 299.196 300.202
320000 -13754.9 284.769 299.425 299.838
340000 -13754.9 284.922 299.673 299.88
360000 -13754.8 285.054 299.77 300.077
380000 -13754.9 285.128 299.814 300.199
400000 -13754.8 285.233 299.937 300.293
420000 -13754.9 285.123 299.819 300.179
440000 -13754.9 285.051 299.682 300.186
460000 -13755 284.898 299.334 300.277
480000 -13755 285.016 299.524 300.311
500000 -13754.9 285.137 299.553 300.57
520000 -13754.9 285.296 299.719 300.74
540000 -13754.9 285.263 299.594 300.826
560000 -13754.9 285.31 299.658 300.856
580000 -13755 285.29 299.523 300.988
600000 -13755 285.152 299.245 301.022
620000 -13755 285.145 299.186 301.084
640000 -13755 284.939 298.938 300.909
660000 -13755 284.927 298.863 300.981
680000 -13755 284.969 298.849 301.103
700000 -13755 284.96 298.895 301.017
720000 -13755 284.949 298.882 301.008
740000 -13754.9 284.987 298.938 301.027
760000 -13754.9 284.97 298.953 300.966
780000 -13754.9 284.964 298.992 300.898
800000 -13754.9 284.955 298.886 301.017
820000 -13754.9 284.846 298.75 300.931
840000 -13754.9 284.839 298.832 300.804
860000 -13754.9 284.859 298.846 300.837
880000 -13754.9 284.875 298.846 300.874
900000 -13754.8 284.965 298.996 300.894
920000 -13754.8 284.964 298.913 301.004
940000 -13754.8 285.041 299.044 301.018
960000 -13754.8 284.988 298.979 300.975
980000 -13754.8 284.922 298.97 300.823
1000000 -13754.8 284.999 299.106 300.83
1020000 -13754.8 284.964 299.097 300.758
1040000 -13754.8 284.857 299 300.624
1060000 -13754.8 284.81 298.967 300.552
1080000 -13754.8 284.799 298.981 300.507
1100000 -13754.8 284.77 298.951 300.474
1120000 -13754.8 284.916 299.156 300.559
1140000 -13754.8 284.928 299.189 300.545
1160000 -13754.8 284.986 299.284 300.559
1180000 -13754.7 284.968 299.272 300.532
1200000 -13754.7 284.998 299.389 300.449
1220000 -13754.7 285.007 299.352 300.523
1240000 -13754.7 284.974 299.335 300.462
1260000 -13754.7 285.044 299.441 300.493
1280000 -13754.7 284.99 299.347 300.486
1300000 -13754.7 284.964 299.344 300.426
1320000 -13754.7 284.934 299.302 300.407
1340000 -13754.7 284.875 299.168 300.442
1360000 -13754.7 284.88 299.155 300.472
1380000 -13754.7 284.923 299.232 300.475
1400000 -13754.7 284.9 299.185 300.482
1420000 -13754.6 284.973 299.311 300.492
1440000 -13754.6 285.015 299.372 300.514
1460000 -13754.6 285.053 299.416 300.548
1480000 -13754.6 285.087 299.456 300.58
1500000 -13754.6 285.099 299.491 300.56
1520000 -13754.6 285.103 299.439 300.641
1540000 -13754.6 285.117 299.483 300.617
1560000 -13754.6 285.071 299.46 300.534
1580000 -13754.6 285.061 299.459 300.509
1600000 -13754.6 285.036 299.429 300.489
1620000 -13754.6 285.081 299.523 300.473
1640000 -13754.5 285.094 299.543 300.479
1660000 -13754.5 285.103 299.537 300.509
1680000 -13754.5 285.131 299.593 300.503
1700000 -13754.5 285.11 299.596 300.445
1720000 -13754.4 285.094 299.591 300.415
1740000 -13754.4 285.115 299.593 300.463
1760000 -13754.4 285.091 299.543 300.472
1780000 -13754.4 285.092 299.527 300.496
1800000 -13754.4 285.077 299.539 300.442
1820000 -13754.3 285.062 299.529 300.419
1840000 -13754.3 285.05 299.5 300.428
1860000 -13754.3 285.046 299.517 300.395
1880000 -13754.3 285.051 299.505 300.425
1900000 -13754.3 285.054 299.521 300.41
1920000 -13754.3 285.024 299.446 300.437
1940000 -13754.3 284.976 299.348 300.451
1960000 -13754.3 284.946 299.322 300.412
1980000 -13754.2 284.95 299.327 300.413
2000000 -13754.2 285.004 299.397 300.453
2020000 -13754.2 285.041 299.472 300.443
2040000 -13754.2 285.093 299.512 300.517
2060000 -13754.2 285.08 299.506 300.494
2080000 -13754.1 285.062 299.502 300.455
2100000 -13754.1 285.055 299.517 300.416
2120000 -13754.1 285.073 299.568 300.393
2140000 -13754.1 285.097 299.574 300.445
2160000 -13754.1 285.069 299.559 300.396
2180000 -13754 285.107 299.594 300.443
2200000 -13754 285.112 299.589 300.46
2220000 -13754 285.156 299.661 300.472
2240000 -13754 285.148 299.671 300.439
2260000 -13754 285.163 299.703 300.434
2280000 -13754 285.155 299.688 300.435
2300000 -13754 285.142 299.675 300.42
2320000 -13754 285.13 299.632 300.447
2340000 -13753.9 285.124 299.598 300.478
2360000 -13753.9 285.15 299.635 300.493
2380000 -13753.9 285.13 299.594 300.499
2400000 -13753.9 285.153 299.653 300.475
2420000 -13753.9 285.165 299.681 300.469
2440000 -13753.9 285.187 299.737 300.446
2460000 -13753.9 285.18 299.735 300.433
2480000 -13753.9 285.18 299.737 300.429
