# Time-averaged data for fix E1
# TimeStep c_PE c_Tav c_T1 c_Tm
20000 -23468.5 290.806 298.587 299.015
40000 -23469.3 290.902 297.818 299.494
60000 -23468.8 290.922 298.515 299.217
80000 -23468.8 291.17 298.994 299.374
100000 -23468.8 291.074 299.076 299.196
120000 -23469.6 290.986 298.918 299.135
140000 -23469.7 291.3 299.295 299.435
160000 -23470.1 291.233 299.474 299.256
180000 -23470.9 291.452 299.673 299.492
200000 -23471.7 291.516 299.601 299.619
220000 -23472.4 291.508 299.621 299.599
240000 -23472.9 291.536 299.84 299.543
260000 -23473.5 291.527 299.784 299.555
280000 -23473.9 291.5 299.861 299.481
300000 -23474.2 291.467 299.802 299.459
320000 -23474.4 291.554 299.879 299.553
340000 -23474.6 291.565 300.02 299.507
360000 -23474.7 291.594 300.127 299.504
380000 -23474.6 291.633 300.15 299.55
400000 -23474.5 291.698 300.08 299.678
420000 -23474.5 291.736 300.067 299.739
440000 -23474.5 291.748 300.051 299.765
460000 -23474.5 291.722 300.078 299.714
480000 -23476.9 291.784 299.954 299.861
500000 -23480.5 291.783 299.918 299.875
520000 -23483.9 291.788 299.969 299.86
540000 -23487.1 291.815 299.987 299.892
560000 -23490 291.768 299.978 299.826
580000 -23492.7 291.787 300.092 299.804
600000 -23495.2 291.805 300.08 299.837
620000 -23497.7 291.803 300.129 299.811
640000 -23500 291.801 300.112 299.816
660000 -23502.2 291.828 300.122 299.851
680000 -23504.2 291.836 300.093 299.876
700000 -23506.2 291.867 300.107 299.916
720000 -23508 291.873 300.11 299.923
740000 -23509.8 291.89 300.107 299.95
760000 -23511.5 291.914 300.126 299.978
780000 -23513.1 291.901 300.062 299.985
800000 -23514.6 291.918 300.071 300.008
820000 -23516.1 291.938 300.067 300.039
840000 -23517.4 291.947 300.093 300.04
860000 -23518.7 291.978 300.096 300.086
880000 -23519.9 291.964 300.121 300.054
900000 -23521.2 291.917 300.094 299.996
920000 -23522.4 291.934 300.141 300.001
940000 -23523.5 291.95 300.216 299.991
960000 -23524.6 291.926 300.19 299.966
980000 -23525.5 291.896 300.177 299.928
1000000 -23526.4 291.877 300.144 299.915
1020000 -23527.3 291.905 300.132 299.961
1040000 -23528.3 291.909 300.135 299.966
1060000 -23529.2 291.914 300.137 299.973
1080000 -23530.1 291.915 300.101 299.99
1100000 -23531 291.912 300.104 299.985
1120000 -23531.8 291.892 300.084 299.964
1140000 -23532.7 291.9 300.103 299.966
1160000 -23533.5 291.896 300.078 299.972
1180000 -23534.3 291.883 300.086 299.949
1200000 -23535 291.906 300.093 299.98
1220000 -23535.7 291.904 300.064 299.989
1240000 -23536.4 291.895 300.06 299.978
1260000 -23537 291.896 300.056 299.981
1280000 -23537.6 291.882 300.048 299.964
1300000 -23538.2 291.875 300.061 299.948
1320000 -23538.7 291.878 300.086 299.941
1340000 -23539.3 291.847 300.06 299.907
1360000 -23539.9 291.837 300.002 299.917
1380000 -23540.4 291.847 299.995 299.936
1400000 -23540.9 291.855 300.007 299.943
1420000 -23541.4 291.863 299.983 299.965
1440000 -23541.9 291.859 299.979 299.961
1460000 -23542.3 291.846 299.974 299.943
1480000 -23542.7 291.841 299.988 299.931
1500000 -23543.1 291.832 299.968 299.926
1520000 -23543.6 291.826 299.96 299.92
1540000 -23544 291.82 299.909 299.934
1560000 -23544.4 291.814 299.891 299.933
1580000 -23544.8 291.814 299.913 299.924
1600000 -23545.2 291.815 299.949 299.908
1620000 -23545.5 291.809 299.927 299.91
1640000 -23545.9 291.815 299.936 299.914
1660000 -23546.2 291.808 299.93 299.906
1680000 -23546.5 291.814 299.943 299.91
1700000 -23546.8 291.805 299.984 299.879
1720000 -23547.1 291.787 299.967 299.86
1740000 -23547.4 291.781 299.967 299.85
1760000 -23547.6 291.792 299.972 299.865
1780000 -23547.8 291.786 299.958 299.861
1800000 -23548.1 291.778 299.928 299.863
1820000 -23548.3 291.773 299.912 299.863
1840000 -23548.5 291.78 299.909 299.874
1860000 -23548.7 291.79 299.935 299.878
1880000 -23549 291.799 299.961 299.879
1900000 -23549.2 291.795 299.947 299.88
1920000 -23549.4 291.802 299.949 299.889
1940000 -23549.6 291.798 299.949 299.884
1960000 -23549.8 291.808 299.934 299.906
1980000 -23550 291.823 299.96 299.915
2000000 -23550.2 291.823 299.967 299.913
2020000 -23550.4 291.827 299.982 299.912
2040000 -23550.6 291.819 299.99 299.897
2060000 -23550.8 291.811 299.994 299.883
2080000 -23551 291.82 299.996 299.895
2100000 -23551.2 291.824 299.993 299.902
2120000 -23551.4 291.823 299.979 299.907
2140000 -23551.6 291.812 299.943 299.907
2160000 -23551.8 291.826 299.945 299.926
2180000 -23552 291.813 299.938 299.911
2200000 -23552.6 291.82 299.954 299.914
2220000 -23553.6 291.824 299.956 299.919
2240000 -23554.7 291.815 299.945 299.911
2260000 -23555.7 291.82 299.934 299.923
2280000 -23556.8 291.818 299.929 299.922
2300000 -23557.8 291.818 299.925 299.923
2320000 -23558.8 291.807 299.915 299.911
2340000 -23559.8 291.818 299.938 299.918
2360000 -23560.7 291.823 299.964 299.914
2380000 -23561.6 291.833 299.98 299.922
2400000 -23562.5 291.823 299.967 299.913
2420000 -23563.4 291.821 299.946 299.919
2440000 -23564.3 291.823 299.95 299.921
2460000 -23565.2 291.821 299.947 299.919
2480000 -23566 291.813 299.939 299.91
2500000 -23566.8 291.828 299.949 299.928
2520000 -23567.7 291.821 299.933 299.925
2540000 -23568.5 291.818 299.926 299.923
2560000 -23569.3 291.818 299.917 299.928
2580000 -23570.2 291.825 299.914 299.938
2600000 -23571 291.819 299.927 299.924
2620000 -23571.9 291.816 299.916 299.924
2640000 -23572.7 291.828 299.928 299.936
2660000 -23573.5 291.831 299.922 299.943
2680000 -23574.3 291.825 299.904 299.943
2700000 -23575.1 291.823 299.911 299.938
2720000 -23575.9 291.831 299.922 299.944
2740000 -23576.7 291.831 299.927 299.941
2760000 -23577.4 291.832 299.946 299.935
2780000 -23578.1 291.851 299.959 299.958
2800000 -23578.9 291.861 299.971 299.967
2820000 -23579.6 291.862 299.96 299.974
2840000 -23580.3 291.872 299.972 299.984
2860000 -23581 291.877 299.997 299.979
2880000 -23581.7 291.889 300.012 299.99
2900000 -23582.4 291.899 300.031 299.996
2920000 -23583.1 291.892 300.018 299.992
2940000 -23583.8 291.902 300.028 300.003
2960000 -23584.5 291.911 300.029 300.015
2980000 -23585.2 291.917 300.036 300.022
3000000 -23585.9 291.914 300.034 300.018
3020000 -23586.5 291.912 300.028 300.017
3040000 -23587.2 291.909 300.014 300.019
3060000 -23587.9 291.913 300.018 300.023
3080000 -23588.5 291.913 300.005 300.03
3100000 -23589.2 291.91 300.009 300.023
3120000 -23589.8 291.913 300.018 300.024
3140000 -23590.5 291.919 300.038 300.023
3160000 -23591.1 291.922 300.033 300.03
3180000 -23591.7 291.924 300.039 300.03
3200000 -23592.3 291.917 300.036 300.022
3220000 -23592.9 291.909 300.043 300.007
3240000 -23593.5 291.908 300.036 300.008
3260000 -23594.1 291.904 300.017 300.011
3280000 -23594.7 291.906 300.009 300.017
3300000 -23595.4 291.909 299.987 300.031
3320000 -23596.6 291.91 299.971 300.04
3340000 -23597.7 291.908 299.968 300.038
3360000 -23598.9 291.914 299.978 300.043
3380000 -23600 291.92 299.974 300.054
3400000 -23601.2 291.919 299.972 300.053
3420000 -23602.3 291.918 299.969 300.053
3440000 -23603.4 291.923 299.971 300.059
3460000 -23604.5 291.922 299.965 300.061
3480000 -23605.6 291.934 299.975 300.073
3500000 -23606.6 291.941 299.986 300.079
3520000 -23607.7 291.935 299.974 300.075
3540000 -23608.7 291.925 299.972 300.061
3560000 -23609.8 291.937 299.996 300.069
3580000 -23610.8 291.933 299.985 300.067
3600000 -23611.9 291.93 299.976 300.067
3620000 -23612.9 291.925 299.97 300.063
3640000 -23613.9 291.928 299.971 300.066
3660000 -23614.9 291.934 299.99 300.066
3680000 -23615.9 291.933 299.995 300.064
3700000 -23616.9 291.935 299.998 300.065
3720000 -23617.8 291.93 299.997 300.058
3740000 -23618.8 291.933 299.998 300.062
3760000 -23619.7 291.929 299.991 300.059
3780000 -23620.7 291.932 300 300.059
3800000 -23621.6 291.926 299.99 300.055
3820000 -23622.5 291.925 299.986 300.055
3840000 -23623.3 291.922 299.993 300.048
3860000 -23624.2 291.923 299.995 300.048
3880000 -23625.1 291.926 299.997 300.052
3900000 -23626 291.924 299.983 300.055
3920000 -23626.8 291.929 299.989 300.06
3940000 -23627.7 291.933 299.999 300.062
3960000 -23628.5 291.939 300 300.069
3980000 -23629.3 291.938 299.991 300.073
4000000 -23630.1 291.936 299.996 300.067
4020000 -23630.9 291.935 300.003 300.063
4040000 -23631.7 291.944 300.009 300.073
4060000 -23632.4 291.954 300.009 300.088
4080000 -23633.2 291.944 300.011 300.072
4100000 -23633.9 291.946 300.021 300.071
4120000 -23634.7 291.942 300.017 300.066
4140000 -23635.5 291.941 300.007 300.069
4160000 -23636.2 291.945 300.004 300.077
4180000 -23637 291.938 299.993 300.071
4200000 -23637.8 291.933 299.993 300.064
4220000 -23638.5 291.923 299.981 300.054
4240000 -23639.5 291.922 299.974 300.056
4260000 -23640.5 291.925 299.987 300.055
4280000 -23641.5 291.931 299.987 300.064
4300000 -23642.5 291.932 299.993 300.062
4320000 -23643.5 291.926 299.987 300.056
4340000 -23644.5 291.925 299.981 300.058
4360000 -23645.5 291.929 299.982 300.064
4380000 -23646.5 291.93 299.987 300.063
4400000 -23647.5 291.931 299.983 300.066
4420000 -23648.5 291.924 299.976 300.058
4440000 -23649.5 291.922 299.977 300.055
4460000 -23650.5 291.924 299.982 300.056
4480000 -23651.4 291.923 299.987 300.051
4500000 -23652.4 291.926 299.994 300.053
4520000 -23653.3 291.932 300.001 300.059
4540000 -23654.3 291.932 299.99 300.064
4560000 -23655.2 291.934 299.983 300.07
4580000 -23656.2 291.925 299.971 300.062
4600000 -23657.1 291.923 299.971 300.058
4620000 -23658 291.926 299.97 300.064
4640000 -23658.9 291.937 299.987 300.073
4660000 -23659.8 291.937 299.984 300.075
4680000 -23660.7 291.936 299.981 300.074
4700000 -23661.6 291.931 299.976 300.069
4720000 -23662.5 291.927 299.972 300.064
4740000 -23663.4 291.926 299.962 300.068
4760000 -23664.3 291.931 299.969 300.071
4780000 -23665.5 291.934 299.982 300.071
4800000 -23666.7 291.935 299.982 300.072
4820000 -23667.9 291.937 299.988 300.072
4840000 -23669.2 291.942 299.993 300.077
4860000 -23670.4 291.941 299.986 300.079
4880000 -23671.6 291.939 299.977 300.08
4900000 -23672.8 291.928 299.967 300.068
4920000 -23674 291.93 299.98 300.065
4940000 -23675.3 291.935 299.987 300.069
4960000 -23676.5 291.932 299.989 300.064
4980000 -23677.7 291.937 300.002 300.065
5000000 -23678.9 291.935 300 300.064
5020000 -23680 291.937 300.008 300.064
5040000 -23681.2 291.931 300.003 300.057
5060000 -23682.4 291.933 299.996 300.062
5080000 -23683.6 291.933 299.996 300.063
5100000 -23684.7 291.938 300.004 300.067
5120000 -23685.9 291.938 300 300.068
5140000 -23687 291.939 300 300.07
5160000 -23688.2 291.935 299.999 300.065
5180000 -23689.3 291.935 299.998 300.065
5200000 -23690.5 291.933 299.994 300.064
5220000 -23691.6 291.926 299.994 300.053
5240000 -23692.7 291.923 299.979 300.055
5260000 -23693.9 291.927 299.991 300.056
5280000 -23695 291.924 299.997 300.049
5300000 -23696.1 291.93 300.001 300.056
5320000 -23697.2 291.933 300.002 300.06
5340000 -23698.2 291.938 300.012 300.063
5360000 -23699.3 291.941 300.011 300.067
5380000 -23700.4 291.944 300.007 300.074
5400000 -23701.5 291.947 300.014 300.076
5420000 -23702.5 291.951 300.023 300.077
5440000 -23703.6 291.945 300.013 300.073
5460000 -23704.6 291.944 300.017 300.07
5480000 -23705.7 291.948 300.018 300.075
5500000 -23706.7 291.944 300.003 300.075
5520000 -23707.8 291.936 299.992 300.068
5540000 -23708.8 291.942 300.002 300.073
5560000 -23709.8 291.94 300 300.071
5580000 -23710.9 291.934 299.995 300.065
5600000 -23711.9 291.932 299.99 300.064
5620000 -23712.9 291.933 299.994 300.063
5640000 -23713.9 291.934 300 300.062
5660000 -23714.8 291.931 299.995 300.06
5680000 -23715.8 291.928 299.995 300.056
5700000 -23716.8 291.933 300.006 300.058
5720000 -23717.8 291.929 299.998 300.056
5740000 -23718.7 291.93 300.002 300.055
5760000 -23719.7 291.926 299.998 300.052
5780000 -23720.6 291.924 299.993 300.05
5800000 -23721.6 291.927 299.986 300.058
5820000 -23722.5 291.926 299.989 300.056
5840000 -23723.5 291.929 299.991 300.059
5860000 -23724.4 291.935 300.005 300.062
5880000 -23725.3 291.925 299.996 300.051
5900000 -23726.3 291.92 299.989 300.046
5920000 -23727.2 291.925 299.995 300.051
5940000 -23728.1 291.924 300.002 300.046
5960000 -23729 291.923 300.006 300.043
5980000 -23729.9 291.924 300.007 300.045
6000000 -23730.8 291.924 300.003 300.046
6020000 -23731.7 291.927 300.017 300.044
6040000 -23732.6 291.926 300.021 300.042
6060000 -23733.4 291.924 300.028 300.035
6080000 -23734.3 291.916 300.025 300.024
6100000 -23735.2 291.914 300.024 300.021
6120000 -23736.1 291.912 300.026 300.019
6140000 -23736.9 291.913 300.022 300.022
6160000 -23737.8 291.919 300.024 300.03
6180000 -23738.6 291.92 300.024 300.031
6200000 -23739.5 291.924 300.024 300.037
6220000 -23740.3 291.926 300.036 300.035
6240000 -23741.1 291.923 300.028 300.033
6260000 -23742 291.927 300.03 300.038
6280000 -23742.8 291.928 300.031 300.039
6300000 -23743.6 291.925 300.031 300.035
6320000 -23744.4 291.921 300.03 300.03
6340000 -23745.2 291.917 300.028 300.025
6360000 -23746 291.916 300.029 300.023
6380000 -23746.8 291.919 300.033 300.026
6400000 -23747.6 291.92 300.033 300.028
6420000 -23748.4 291.915 300.032 300.02
6440000 -23749.2 291.915 300.032 300.021
6460000 -23750 291.916 300.036 300.019
6480000 -23750.7 291.914 300.032 300.019
6500000 -23751.5 291.909 300.025 300.014
6520000 -23752.3 291.909 300.028 300.013
6540000 -23753.1 291.918 300.033 300.024
6560000 -23753.8 291.921 300.035 300.027
6580000 -23754.6 291.916 300.033 300.02
6600000 -23755.3 291.917 300.037 300.02
6620000 -23756.1 291.912 300.024 300.019
6640000 -23756.8 291.911 300.019 300.02
6660000 -23757.6 291.913 300.026 300.02
6680000 -23758.3 291.91 300.015 300.02
6700000 -23759 291.907 300.021 300.013
6720000 -23759.7 291.907 300.023 300.012
6740000 -23760.5 291.908 300.026 300.013
6760000 -23761.5 291.904 300.022 300.009
6780000 -23762.4 291.908 300.015 300.018
6800000 -23763.4 291.911 300.012 300.023
6820000 -23764.4 291.911 300.015 300.022
6840000 -23765.4 291.909 300.008 300.022
6860000 -23766.4 291.911 300.006 300.026
6880000 -23767.4 291.912 300.008 300.026
6900000 -23768.3 291.911 300.005 300.026
6920000 -23769.3 291.912 300.005 300.028
6940000 -23770.3 291.912 300.007 300.027
6960000 -23771.3 291.913 300.013 300.025
6980000 -23772.2 291.911 300.008 300.025
7000000 -23773.2 291.91 300.011 300.022
7020000 -23774.2 291.91 300.016 300.02
7040000 -23775.1 291.91 300.022 300.017
7060000 -23776.1 291.908 300.018 300.017
7080000 -23777 291.912 300.013 300.025
7100000 -23778 291.914 300.019 300.023
7120000 -23779 291.919 300.022 300.03
7140000 -23780.2 291.919 300.021 300.03
7160000 -23781.4 291.92 300.024 300.031
7180000 -23782.6 291.92 300.026 300.03
7200000 -23783.7 291.916 300.022 300.026
7220000 -23784.9 291.916 300.022 300.026
7240000 -23786.1 291.914 300.012 300.027
7260000 -23787.2 291.915 300.012 300.029
7280000 -23788.4 291.916 300.013 300.03
7300000 -23789.6 291.915 300.01 300.029
7320000 -23790.7 291.909 300.002 300.025
7340000 -23791.9 291.912 299.998 300.031
7360000 -23793.1 291.91 299.999 300.028
7380000 -23794.2 291.906 299.998 300.022
7400000 -23795.3 291.911 299.996 300.03
7420000 -23796.5 291.912 299.996 300.032
7440000 -23797.6 291.912 299.999 300.03
7460000 -23798.7 291.91 299.999 300.028
7480000 -23799.8 291.914 300.009 300.029
7500000 -23800.9 291.91 300.004 300.025
7520000 -23802 291.911 300.006 300.025
7540000 -23803.1 291.913 300.017 300.023
7560000 -23804.2 291.907 300.021 300.014
7580000 -23805.3 291.905 300.019 300.011
7600000 -23806.4 291.904 300.018 300.01
7620000 -23807.5 291.902 300.013 300.009
7640000 -23808.5 291.9 300.017 300.004
7660000 -23809.6 291.901 300.013 300.007
7680000 -23810.7 291.901 300.01 300.008
7700000 -23811.7 291.906 300.011 300.016
7720000 -23812.8 291.903 300.009 300.012
7740000 -23813.8 291.9 300.001 300.012
7760000 -23814.8 291.9 299.998 300.013
7780000 -23815.9 291.9 299.994 300.015
7800000 -23816.9 291.901 299.994 300.017
7820000 -23817.9 291.899 299.984 300.018
7840000 -23819 291.9 299.987 300.017
7860000 -23820 291.902 299.984 300.021
7880000 -23821 291.898 299.983 300.016
7900000 -23822 291.899 299.982 300.018
7920000 -23823 291.897 299.978 300.017
7940000 -23824 291.901 299.984 300.02
7960000 -23825 291.9 299.984 300.019
7980000 -23826 291.9 299.988 300.018
8000000 -23827 291.901 299.99 300.018
8020000 -23828 291.899 299.977 300.02
8040000 -23829 291.9 299.976 300.023
8060000 -23829.9 291.899 299.969 300.025
8080000 -23830.9 291.903 299.968 300.031
8100000 -23831.9 291.904 299.971 300.031
8120000 -23832.8 291.906 299.973 300.032
8140000 -23833.8 291.906 299.976 300.031
8160000 -23834.7 291.904 299.981 300.027
8180000 -23835.7 291.903 299.973 300.029
8200000 -23836.6 291.901 299.964 300.03
8220000 -23837.5 291.902 299.966 300.03
8240000 -23838.4 291.899 299.959 300.028
8260000 -23839.4 291.898 299.964 300.025
8280000 -23840.3 291.895 299.965 300.02
8300000 -23841.2 291.893 299.965 300.018
8320000 -23842.1 291.894 299.967 300.018
8340000 -23843 291.898 299.968 300.023
8360000 -23843.9 291.895 299.969 300.018
8380000 -23844.8 291.896 299.971 300.02
8400000 -23845.7 291.898 299.972 300.022
8420000 -23846.6 291.898 299.969 300.024
8440000 -23847.5 291.897 299.969 300.022
8460000 -23848.4 291.901 299.974 300.025
8480000 -23849.3 291.899 299.969 300.024
8500000 -23850.2 291.898 299.965 300.024
8520000 -23851 291.899 299.961 300.027
8540000 -23851.9 291.898 299.967 300.023
8560000 -23852.7 291.897 299.965 300.023
8580000 -23853.6 291.894 299.964 300.019
8600000 -23854.4 291.895 299.967 300.019
8620000 -23855.3 291.897 299.964 300.024
8640000 -23856.1 291.899 299.965 300.026
8660000 -23857 291.9 299.967 300.026
8680000 -23857.8 291.902 299.969 300.029
8700000 -23858.6 291.902 299.971 300.028
8720000 -23859.4 291.903 299.97 300.03
8740000 -23860.2 291.904 299.974 300.03
8760000 -23861 291.903 299.97 300.029
8780000 -23861.9 291.9 299.969 300.025
8800000 -23862.7 291.899 299.972 300.022
8820000 -23863.5 291.896 299.972 300.019
8840000 -23864.2 291.899 299.974 300.022
8860000 -23865 291.899 299.979 300.02
8880000 -23865.8 291.899 299.98 300.02
8900000 -23866.6 291.9 299.982 300.02
8920000 -23867.3 291.899 299.979 300.02
8940000 -23868.1 291.899 299.982 300.019
8960000 -23868.9 291.902 299.981 300.022
8980000 -23869.6 291.901 299.976 300.024
9000000 -23870.4 291.901 299.974 300.025
9020000 -23871.1 291.899 299.97 300.023
9040000 -23871.9 291.897 299.969 300.021
9060000 -23872.6 291.897 299.967 300.022
9080000 -23873.4 291.898 299.971 300.021
9100000 -23874.1 291.896 299.969 300.02
9120000 -23874.9 291.895 299.97 300.018
9140000 -23875.6 291.895 299.972 300.017
9160000 -23876.3 291.897 299.975 300.018
9180000 -23877.1 291.895 299.972 300.018
9200000 -23877.8 291.892 299.967 300.015
9220000 -23878.5 291.893 299.967 300.016
9240000 -23879.2 291.897 299.97 300.021
9260000 -23880 291.897 299.971 300.021
9280000 -23880.7 291.898 299.973 300.021
9300000 -23881.4 291.898 299.975 300.019
9320000 -23882.1 291.895 299.971 300.018
9340000 -23882.8 291.893 299.97 300.015
9360000 -23883.5 291.894 299.972 300.016
9380000 -23884.2 291.894 299.968 300.017
9400000 -23884.9 291.893 299.963 300.018
9420000 -23885.6 291.894 299.966 300.018
9440000 -23886.3 291.894 299.969 300.016
9460000 -23887 291.898 299.973 300.021
9480000 -23887.7 291.896 299.972 300.019
9500000 -23888.4 291.892 299.969 300.014
9520000 -23889.1 291.893 299.97 300.014
9540000 -23889.8 291.894 299.971 300.016
9560000 -23890.4 291.891 299.969 300.012
9580000 -23891.1 291.891 299.971 300.011
9600000 -23891.8 291.89 299.972 300.009
9620000 -23892.5 291.89 299.972 300.01
9640000 -23893.1 291.889 299.972 300.007
9660000 -23893.8 291.886 299.972 300.004
9680000 -23894.5 291.886 299.972 300.003
9700000 -23895.1 291.89 299.976 300.008
9720000 -23895.8 291.89 299.974 300.009
9740000 -23896.4 291.888 299.97 300.007
9760000 -23897.1 291.883 299.968 300.001
9780000 -23897.7 291.882 299.964 300.001
9800000 -23898.4 291.882 299.966 300
9820000 -23899 291.884 299.963 300.004
9840000 -23899.7 291.886 299.963 300.007
9860000 -23900.3 291.887 299.957 300.012
9880000 -23900.9 291.888 299.961 300.011
9900000 -23901.6 291.889 299.962 300.012
9920000 -23902.2 291.886 299.96 300.01
9940000 -23902.8 291.883 299.955 300.007
9960000 -23903.4 291.881 299.951 300.006
9980000 -23904.1 291.884 299.946 300.012
10000000 -23904.7 291.881 299.943 300.009
10020000 -23908.1 291.88 299.942 300.007
10040000 -23912.4 291.882 299.947 300.009
10060000 -23916.6 291.884 299.947 300.011
10080000 -23920.8 291.883 299.948 300.007
10100000 -23925 291.88 299.947 300.004
